objectid,wd17cd,wd17nm,wd17nmw,bng_e,bng_n,longitude,lat,st_areashape,st_lengthshape
1597,E05002048,Bradley Stoke South, ,362680,181138,-2.53936005,51.52790833,0.00021147359668234,0.0837818619220033
1598,E05002049,Charfield, ,369898,191569,-2.43620992,51.62213135,0.00417901880378406,0.394608780216749
1599,E05002050,Chipping Sodbury, ,372705,182948,-2.39498997,51.54476166,0.000671031576099464,0.158818566695435
1600,E05002051,Cotswold Edge, ,377649,183002,-2.32369995,51.54545975,0.0106055171278992,0.686477598695714
1601,E05002052,Dodington, ,370772,181004,-2.42269993,51.52717972,0.000189536527787487,0.0803323781996305
1602,E05002053,Downend, ,365071,177349,-2.50451994,51.49399185,0.000342648956527185,0.121402893717102
1603,E05002054,Emersons Green, ,366982,177203,-2.47697997,51.49279022,0.000550685794131303,0.16784086736542
1604,E05002055,Filton, ,360267,179388,-2.57394004,51.51200867,0.000526976156105104,0.108999266713094
1605,E05002056,Frampton Cotterell, ,366288,183513,-2.48758006,51.54949188,0.00244432556899408,0.341180454838115
1606,E05002057,Frenchay and Stoke Park, ,361898,178488,-2.55033994,51.50402832,0.000694614385457877,0.195298578657961
1607,E05002058,Hanham, ,364150,171724,-2.51721001,51.44335938,0.000464708337241917,0.125595057713804
1608,E05002059,Kings Chase, ,365402,174321,-2.49944997,51.46678925,0.00025158585231664,0.0994193338322964
1609,E05002060,Ladden Brook, ,370408,186311,-2.42840004,51.57487869,0.00421783797039292,0.434582046276763
1610,E05002061,Longwell Green, ,365726,171003,-2.49446011,51.43696976,0.000476798499967981,0.116680967167048
1611,E05002062,Oldland Common, ,368042,171931,-2.46123004,51.44544983,0.000492328551735754,0.15309141855085
1612,E05002063,Parkwall, ,366191,172253,-2.48790002,51.44823837,0.000238712407445352,0.0978704112849939
1613,E05002064,Patchway, ,359544,181429,-2.58459997,51.53031158,0.00112296808657517,0.199246313122404
1614,E05002065,Pilning and Severn Beach, ,355542,184976,-2.64274001,51.56188965,0.00199128807431689,0.302796951686985
1615,E05002066,Rodway, ,365924,175897,-2.49208999,51.48099136,0.000286136674337992,0.125691968972416
1616,E05002067,Severn, ,361297,190476,-2.5603199,51.61177063,0.00816183784319489,0.713692630619785
1617,E05002068,Siston, ,368026,174258,-2.46166992,51.46636963,0.00106448674575946,0.191308939447679
